,HSC,PreProB,ProB,PreB,immtransB,nB,GCB,memB,PC,CMP,Mon,nCD8
TSPAN6,75.6666666666667,9.33333333333333,8.66666666666667,2.33333333333333,1.33333333333333,28,7.5,0,0,37.5,1.33333333333333,48.3333333333333
DPM1,1302,1486.33333333333,1596,1568.66666666667,1256,1485.66666666667,1365.25,915.5,1555.66666666667,1361.5,831,951
SCYL3,814.333333333333,377,508,469.333333333333,381.333333333333,854.666666666667,650.75,711,653,385.25,83.3333333333333,215.333333333333
FIRRM,895,1306.66666666667,1126.33333333333,1464.33333333333,283.666666666667,267.666666666667,750.75,296.75,219.333333333333,604.5,55,43
FGR,102.666666666667,6,7,22.6666666666667,705.666666666667,10351.3333333333,323.75,7431.75,810.666666666667,229,8385,184.666666666667
CFH,1594,2.66666666666667,4,0.666666666666667,1.33333333333333,0,0,0,12,447.25,9.33333333333333,39.6666666666667
FUCA2,696.666666666667,134.333333333333,97,313.333333333333,151,510,328,530.25,360.666666666667,882.75,860.333333333333,75
GCLC,1191.66666666667,244.333333333333,273.666666666667,230,163,285,462.5,450.5,474,718.75,551,238
NFYA,2592.66666666667,1599,2023.66666666667,1543,1005,860.666666666667,1687,866,843.666666666667,1582.75,839.666666666667,563
STPG1,190.666666666667,83.6666666666667,124,182,121.333333333333,164.333333333333,237.75,219.25,69.6666666666667,191.25,15.6666666666667,54.6666666666667
NIPAL3,783.333333333333,432.333333333333,505.666666666667,582.666666666667,522.666666666667,3709,736.25,2547.5,591,561.75,112.666666666667,1263.33333333333
LAS1L,2935,3377.33333333333,3374.33333333333,3380,2067.66666666667,2617,1749.25,2371.75,753,2895.5,288,3262.66666666667
ENPP4,803.333333333333,212.333333333333,270.333333333333,194.333333333333,179,369,431.5,231.25,838.333333333333,264,226.666666666667,120.333333333333
SEMA3F,45,5,10,6,3.33333333333333,0,9.5,0,0.333333333333333,37.25,265.666666666667,12.3333333333333
ANKIB1,1753,255.333333333333,330.333333333333,289,371.333333333333,1232,1380.75,1040.75,2209.66666666667,738.25,719.666666666667,369.666666666667
CYP51A1,31.3333333333333,52.6666666666667,45.3333333333333,45,56.3333333333333,81.3333333333333,32.75,44.75,95.6666666666667,25.5,54.3333333333333,14.6666666666667
KRIT1,433.333333333333,174.666666666667,176.666666666667,189.666666666667,133,403,334.5,446.5,244,334.5,94.6666666666667,69.6666666666667
RAD52,1147,353.666666666667,403.666666666667,409.333333333333,349.666666666667,1269.33333333333,628.75,1170,215.333333333333,750.75,106.666666666667,165.333333333333
MYH16,3.66666666666667,0.333333333333333,0.666666666666667,1.33333333333333,0,0,2.25,0,0,4.75,0,1.33333333333333
