,Panda_Jac,GRNBoost2_Jac,GRaNIE_Jac,Collectri_Jac,GRNBoost2_thresh_05,Panda_thresh_2
HSC,0,0,0,0,0,0
PreProB,0.33,0.17,0,0.17,0.4,0.6
ProB,0.36,0.13,0,0.13,0.285714285714286,0.571428571428571
PreB,0,0.13,0,0.25,0.285714285714286,0
immtransB,0.14,0.11,0,0.18,0.25,0
nB,0.4,0.5,0,0.6,0,0
GCB,0.22,0.3,0.38,0.4,0.3,0.5
memB,0,0.33,0,0.13,0.375,0
PC,0.17,0.33,0.38,0.33,0.444444444444444,0.2
Average_jaccard,0.18,0.222222222222222,0.0844444444444444,0.243333333333333,0.260097001763668,0.207936507936508
