TF,target,importance
ATF1,LINC01342,1
ATF1,LNCTAM34A,1
ATF1,LINC01355,1
ATF1,CD52,1
ATF1,CRYBG2,1
ATF1,FAM76A,1
ATF1,RPA2,1
ATF1,EYA3,1
ATF1,TRNAU1AP,1
ATF1,ATP5IF1,1
ATF1,SNHG12,1
ATF1,OPRD1,1
ATF1,TMEM39B,1
ATF1,CAP1,1
ATF1,TMCO2,1
ATF1,MOB3C,1
ATF1,TEX38,1
ATF1,EFCAB14,1
ATF1,LRP8-DT,1
ATF1,LINC02812,1
ATF1,STXBP3,1
ATF1,STRIP1,1
ATF1,PTPN22,1
ATF1,WARS2-AS1,1
ATF1,RFX5,1
ATF1,CD1A,1
ATF1,ATP1A2,1
ATF1,DCAF8-DT,1
ATF1,KLHDC9,1
ATF1,PPOX,1
ATF1,TSTD1,1
ATF1,SELL,1
ATF1,SCYL3,1
ATF1,FMO4,1
ATF1,RABGAP1L,1
ATF1,PRG4,1
ATF1,PDC-AS1,1
ATF1,PIK3C2B,1
ATF1,MDM4,1
ATF1,TMEM81,1
ATF1,RBBP5,1
ATF1,LEMD1-AS1,1
ATF1,TRAF3IP3,1
ATF1,UTP25,1
ATF1,LINC02608,1
ATF1,DEGS1,1
ATF1,LINC02809,1
ATF1,COA6-AS1,1
ATF1,COA6,1
ATF1,ARID4B,1
ATF1,GGPS1,1
ATF1,TBCE,1
ATF1,WDR64,1
ATF1,SDCCAG8,1
ATF1,OR2T10,1
ATF1,PGBD2,1
ATF1,IL2RA,1
ATF1,DCLRE1C,1
ATF1,COMMD3,1
ATF1,PIP4K2A,1
ATF1,LINC02664,1
ATF1,ARID5B,1
ATF1,AIFM2,1
ATF1,GHITM,1
ATF1,TNKS2-DT,1
ATF1,BLNK,1
ATF1,EXOSC1,1
ATF1,CUZD1,1
ATF1,FAM24B,1
ATF1,C10orf88,1
ATF1,ACADSB,1
ATF1,FAM53B,1
ATF1,LINC01165,1
ATF1,IFITM2,1
ATF1,GATD1-DT,1
ATF1,TIMM10B,1
ATF1,TRIM22,1
ATF1,SAA1,1
ATF1,LDHAL6A,1
ATF1,MISFA,1
ATF1,IGSF22,1
ATF1,GLYATL1B,1
ATF1,MS4A1,1
ATF1,TMEM216,1
ATF1,LBHD1,1
ATF1,BSCL2,1
ATF1,GNG3,1
ATF1,TMEM179B,1
ATF1,TRMT112,1
ATF1,GPHA2,1
ATF1,MAJIN,1
ATF1,BATF2,1
ATF1,NAALADL1,1
ATF1,SLC25A45,1
ATF1,RBM4B,1
ATF1,BBS1,1
ATF1,POLD4,1
ATF1,CABP4,1
ATF1,TMEM134,1
ATF1,CCND1,1
ATF1,AQP11,1
ATF1,ANKRD49,1
ATF1,LNCRNA-IUR,1
ATF1,BIRC3,1
ATF1,TMEM123-DT,1
ATF1,CEP126,1
ATF1,C11orf65,1
ATF1,EXPH5,1
ATF1,FDXACB1,1
ATF1,SDHD,1
ATF1,USP28,1
ATF1,TTC12,1
ATF1,ATP5MG,1
ATF1,CD27-AS1,1
ATF1,TAPBPL,1
ATF1,LPAR5,1
ATF1,EMG1,1
ATF1,PRH1,1
ATF1,CAPRIN2,1
ATF1,AK4P3,1
ATF1,ETFBKMT,1
ATF1,AMN1,1
ATF1,H3-5,1
ATF1,LINC02422,1
ATF1,DAZAP2,1
ATF1,SMAGP,1
ATF1,SLC4A8,1
ATF1,STAT2,1
ATF1,GLS2,1
ATF1,PAN2,1
ATF1,R3HDM2,1
ATF1,INHBE,1
ATF1,ARHGAP9,1
ATF1,TSPAN31,1
ATF1,PIP4K2C,1
ATF1,AVIL,1
ATF1,KICS2,1
ATF1,SRGAP1,1
ATF1,THAP2,1
ATF1,TMEM19,1
ATF1,USP44,1
ATF1,TMTC3,1
ATF1,WASHC3,1
ATF1,ISCU,1
ATF1,PWP1,1
ATF1,USP30-AS1,1
ATF1,UBE3B,1
ATF1,MVK,1
ATF1,GIT2,1
ATF1,C12orf76,1
ATF1,MAPKAPK5-AS1,1
ATF1,VPS33A,1
ATF1,SNRNP35,1
ATF1,GOLGA3,1
ATF1,B3GLCT,1
ATF1,N4BP2L2,1
ATF1,EXOSC8,1
ATF1,CAB39L,1
ATF1,SETDB2,1
ATF1,SPRYD7,1
ATF1,TRIM13,1
ATF1,KCNRG,1
ATF1,OXA1L-DT,1
ATF1,C14orf119,1
ATF1,LINC02332,1
ATF1,HEATR5A-DT,1
ATF1,PRPF39,1
ATF1,KLHDC1,1
ATF1,VCPKMT,1
ATF1,LINC01588,1
ATF1,AP5M1,1
ATF1,DHRS7,1
ATF1,ACTR10,1
ATF1,JKAMP,1
ATF1,DCAF4,1
ATF1,MIDEAS,1
ATF1,ZC2HC1C,1
ATF1,IFT43,1
ATF1,GSKIP,1
ATF1,COA8,1
ATF1,SNRPN,1
ATF1,CCDC32,1
ATF1,RAD51-AS1,1
ATF1,PPP1R14D,1
ATF1,SNAP23,1
ATF1,SPG11,1
ATF1,PATL2,1
ATF1,B2M,1
ATF1,TRIM69,1
ATF1,GATM,1
ATF1,SLC30A4,1
ATF1,DUOX1,1
ATF1,GNB5,1
ATF1,CERNA1,1
ATF1,HEXA,1
ATF1,BBS4,1
ATF1,CFAP161,1
ATF1,IL16,1
ATF1,SAXO2,1
ATF1,GOLGA6L10,1
ATF1,MRPL46,1
ATF1,DET1,1
ATF1,GDPGP1,1
ATF1,WASIR2,1
ATF1,ZNF213-AS1,1
ATF1,ZNF75A,1
