,Gene,ensemble
1,BACH2,ENSG00000112182
2,BATF,ENSG00000156127
3,BCL11A,ENSG00000119866
4,BCL6,ENSG00000113916
5,PRDM1,ENSG00000057657
7,MYC,ENSG00000136997
21,CEBPZ,ENSG00000115816
25,TCF3,ENSG00000071564
26,EBF1,ENSG00000164330
27,ELF2,ENSG00000109381
28,ETV6,ENSG00000139083
31,FOXO1,ENSG00000150907
33,HMGA1,ENSG00000137309
36,IKZF1,ENSG00000185811
37,IKZF3,ENSG00000161405
39,IRF1,ENSG00000125347
40,IRF4,ENSG00000137265
41,IRF8,ENSG00000140968
42,IRF9,ENSG00000213928
43,KLF13,ENSG00000169926
44,KLF2,ENSG00000127528
45,KLF6,ENSG00000067082
46,LEF1,ENSG00000138795
48,LMO2,ENSG00000135363
49,MEF2B,ENSG00000213999
50,MEF2C,ENSG00000081189
52,NFKB1,ENSG00000109320
53,NFKB2,ENSG00000077150
54,POU2AF1,ENSG00000110777
55,POU2F2,ENSG00000028277
56,PAX5,ENSG00000196092
57,PKNOX1,ENSG00000160199
59,POU2F1,ENSG00000143190
60,SPI1,ENSG00000066336
63,REST,ENSG00000084093
64,RUNX1,ENSG00000159216
65,RUNX3,ENSG00000020633
66,SOX4,ENSG00000124766
67,SPIB,ENSG00000269404
69,STAT1,ENSG00000115415
70,STAT3,ENSG00000168610
71,TCF3,ENSG00000071564
74,TP53,ENSG00000141510
76,XBP1,ENSG00000100219
77,YY1,ENSG00000100811
78,ZBTB20,ENSG00000181722
